Locus_ID,Description,GO
Os02g0646200,"Zinc finger, B-box domain containing protein.","Cellular Component: intracellular (GO:0005622), Molecular Function: zinc ion binding (GO:0008270)"
Os02g0646500,Aldehyde dehydrogenase domain containing protein.,"Biological Process: cellular aldehyde metabolic process (GO:0006081), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)"
Os02g0647900 ,"Similar to Fatty aldehyde dehydrogenase 1., Similar to aldehyde dehydrogenase 3B1. ","Biological Process: cellular aldehyde metabolic process (GO:0006081), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: aldehyde dehydrogenase NAD(P)+ activity (GO:0004030), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)"
Os02g0648300,"SANT domain, DNA binding domain containing protein.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677)"
Os02g0649000,Non-protein coding transcript.,
Os02g0649300,"HD-ZIP I protein, Transcription activator, Stress response, Panicle development","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)"
Os02g0649900,"Metal-nicotianamine (NA) transporter, Fe and Mn transport to the endosperm",Biological Process: transmembrane transport (GO:0055085)
Os02g0650500 ,"Similar to Protein kinase-like (Protein serine/threonine kinase)., Hypothetical conserved gene. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), "
Os02g0650900,Similar to Glutamate dehydrogenase 2 (EC 1.4.1.3) (GDH 2).,"Biological Process: cellular amino acid metabolic process (GO:0006520), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor (GO:0016639)"
Os02g0651300 ,Similar to OR. ,"Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)"
Os02g0651900,Hypothetical protein.,
Os02g0652000,PREG-like protein.,"Biological Process: regulation of cyclin-dependent protein kinase activity (GO:0000079), Molecular Function: protein kinase binding (GO:0019901)"
Os02g0652600,Ribosomal protein L19 family protein.,
Os02g0653000,Non-protein coding transcript.,
Os02g0653300,Conserved hypothetical protein.,
Os02g0653400,Similar to OSIGBa0101C23.8 protein.,"Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)"
Os02g0653800,Similar to GTP-binding protein.,"Biological Process: GTP catabolic process (GO:0006184), Biological Process: intracellular protein transport (GO:0006886), Biological Process: nucleocytoplasmic transport (GO:0006913), Biological Process: signal transduction (GO:0007165), Biological Process: small GTPase mediated signal transduction (GO:0007264), Biological Process: protein transport (GO:0015031), Cellular Component: intracellular (GO:0005622), Cellular Component: membrane (GO:0016020), Molecular Function: GTPase activity (GO:0003924), Molecular Function: GTP binding (GO:0005525)"
Os02g0654000,Similar to Methylglutaconyl-CoA hydratase.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)"
Os02g0654100,Similar to Enoyl-CoA hydratase.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)"
Os02g0654300,Similar to Protein kinase KIPK.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os02g0654500,"Peptidase C12, ubiquitin carboxyl-terminal hydrolase 1 family protein.","Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511), Cellular Component: intracellular (GO:0005622), Molecular Function: ubiquitin thiolesterase activity (GO:0004221)"
Os02g0654600,Domain of unknown function DUF632 domain containing protein.,
Os02g0655100,Uncharacterised protein family UPF0565 domain containing protein.,
Os02g0655600 ,"Protein of unknown function DUF676, hydrolase-like domain containing protein., Similar to predicted protein. ",
Os02g0655700,Amino acid/polyamine transporter I family protein.,"Biological Process: amino acid transmembrane transport (GO:0003333), Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: amino acid transmembrane transporter activity (GO:0015171)"
Os02g0655800 ,Serine/threonine protein kinase domain containing protein. ,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os02g0656200,Similar to Ceramide kinase.,"Biological Process: activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway (GO:0007205), Molecular Function: diacylglycerol kinase activity (GO:0004143)"
Os02g0656300,Similar to Anaphase-promoting complex subunit 8-like protein.,"Biological Process: regulation of mitotic metaphase/anaphase transition (GO:0030071), Cellular Component: anaphase-promoting complex (GO:0005680), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
Os02g0656600,Similar to Dehydration responsive element binding protein 2B (DREB2B protein).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
Os02g0657000,AP2 domain-containing protein Rap211.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
Os02g0657600,N-acetyl glutamate kinase 2.,"Biological Process: arginine biosynthetic process (GO:0006526), Biological Process: proline biosynthetic process (GO:0006561), Biological Process: cellular amino acid biosynthetic process (GO:0008652), Cellular Component: cytoplasm (GO:0005737), Molecular Function: acetylglutamate kinase activity (GO:0003991), Molecular Function: glutamate 5-kinase activity (GO:0004349)"
Os02g0657700,Uncharacterised conserved protein UCP012943 domain containing protein.,
Os02g0658300,Conserved hypothetical protein.,
Os02g0658400,"Remorin, C-terminal domain containing protein.",
Os02g0658500,Similar to Leucine Rich Repeat family protein.,
Os02g0658800,Beta-expansin.,"Biological Process: sexual reproduction (GO:0019953), Cellular Component: extracellular region (GO:0005576)"
Os02g0659600,Hypothetical conserved gene.,
Os02g0661500 ,"Non-protein coding transcript., Hypothetical protein. ",
Os02g0661800,Phosphatidic acid phosphatase type 2/haloperoxidase domain containing protein.,"Cellular Component: membrane (GO:0016020), Molecular Function: catalytic activity (GO:0003824)"
Os02g0661900 ,"Similar to OSIGBa0143N19.13 protein., Similar to Vesicle-associated membrane protein-associated protein B/C (VAMP- associated protein B/C) (VAMP-B/VAMP-C) (VAP-B/VAP-C). Splice isoform 2. ",Molecular Function: structural molecule activity (GO:0005198)
Os02g0662700 ,"GRAS (GAI-RGA-SCR) plant-specific transcription factor, Maintenance of shoot apical meristem indeterminacy, Regulation of vegetative to reproductive phase change, Similar to Scl1 protein (Fragment). ",
Os02g0663100,"GRAS (GAI-RGA-SCR) plant-specific transcription factor, Maintenance of shoot apical meristem indeterminacy, Regulation of vegetative to reproductive phase change",
Os02g0663300,BEACH domain domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os02g0663900 ,"Similar to Phosphoribosyltransferase (Fragment)., Hypothetical conserved gene. ","Molecular Function: protein binding (GO:0005515), Molecular Function: binding (GO:0005488)"
Os02g0664000,"Similar to Phospholipid hydroperoxide glutathione peroxidase, chloroplast precursor (EC 1.11.1.12) (PHGPx).","Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: glutathione peroxidase activity (GO:0004602)"
Os02g0664100,Hypothetical conserved gene.,"Biological Process: protein glycosylation (GO:0006486), Molecular Function: UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)"
Os02g0664200,Similar to UDP-glucose:glycoprotein glucosyltransferase 1 precursor (EC 2.4.1.-) (UDP-glucose ceramide glucosyltransferase-like 1) (UDP-- Glc:glycoprotein glucosyltransferase) (HUGT1).,"Biological Process: protein glycosylation (GO:0006486), Molecular Function: UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980), Molecular Function: transferase activity, transferring glycosyl groups (GO:0016757)"
Os02g0665000 ,"Similar to Malic enzyme., Similar to NADP-malic enzyme. ","Biological Process: malate metabolic process (GO:0006108), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: malic enzyme activity (GO:0004470), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: malate dehydrogenase (oxaloacetate-decarboxylating) activity (GO:0016619)"
Os02g0665200,Mitochondrial substrate carrier family protein.,
Os02g0665250,Conserved hypothetical protein.,
Os02g0665400 ,Similar to Interleukin-1 receptor-associated kinase 1 (EC 2.7.1.37) (IRAK-1). Splice isoform 2. ,
Os02g0666250,Hypothetical gene.,
Os02g0667000,Complex 1 LYR protein family protein.,
Os02g0667500 ,"Similar to tetracycline transporter protein., Hypothetical conserved gene. ","Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), "
Os02g0668100 ,"Similar to Geranylgeranyl-diphosphate synthase., Similar to predicted protein. ",Biological Process: isoprenoid biosynthetic process (GO:0008299)
Os02g0668400,tRNA pseudouridine synthase family protein.,"Biological Process: pseudouridine synthesis (GO:0001522), Biological Process: RNA modification (GO:0009451), Molecular Function: RNA binding (GO:0003723), Molecular Function: pseudouridine synthase activity (GO:0009982)"
Os02g0668500 ,"Cellular retinaldehyde-binding/triple function, C-terminal domain containing protein., Similar to cellular retinaldehyde-binding/triple function, C-terminal. ",
Os02g0669000,"Lipase, GDSL domain containing protein.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)"
Os02g0669100,Dehydrin family protein.,"Biological Process: response to stress (GO:0006950), Biological Process: response to water (GO:0009415)"
Os02g0669366,Hypothetical gene.,
Os02g0669500,Similar to H0211B05.7 protein.,
Os02g0670400,Similar to HMGc1 protein.,"Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os02g0670500,Rapid ALkalinization Factor family protein.,
Os02g0670700,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488)
Os02g0670900 ,Similar to amino acid transport protein. ,
Os02g0671200,Protein of unknown function DUF295 domain containing protein.,
Os02g0671300,Basic helix-loop-helix dimerisation region bHLH domain containing protein.,
Os02g0671800,"Integrase, catalytic core domain containing protein.","Biological Process: DNA integration (GO:0015074), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)"
Os02g0672100,"C2H2-type zinc finger transcription factor, Promotion of flowering",Molecular Function: nucleic acid binding (GO:0003676)
Os02g0672200 ,"Similar to AGO1 homologous protein., Similar to Protein argonaute 1A. ","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515)"
Os02g0672400 ,"Sugar transporter, conserved site domain containing protein. ",
Os02g0672700,"DNA-directed RNA polymerase, M/15 kDa subunit domain containing protein.","Biological Process: transcription, DNA-dependent (GO:0006351), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA-directed RNA polymerase activity (GO:0003899), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os02g0672800,Similar to Protein kinase.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os02g0673500,Basic helix-loop-helix dimerisation region bHLH domain containing protein.,
Os02g0673600,ORMDL family protein.,Cellular Component: integral to membrane (GO:0016021)
Os02g0673700 ,Similar to OSIGBa0103M18.3 protein. ,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: zinc ion binding (GO:0008270)"
Os02g0674700,Similar to protein binding protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os02g0675700,"Protein of unknown function DUF248, methyltransferase putative family protein.",Molecular Function: methyltransferase activity (GO:0008168)
Os02g0675800,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os02g0676000 ,"Membrane bound O-acyl transferase, MBOAT family protein., Similar to predicted protein. ",
Os02g0676500,Similar to OSIGBa0127A14.6 protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os02g0676800,Similar to Dehydration responsive element binding protein 1E (DREB1E protein).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
Os02g0677600,Conserved hypothetical protein.,
Os02g0677800,Similar to 40S ribosomal protein S13.,"Biological Process: translation (GO:0006412), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
Os02g0678200,"SPX-MFS protein, Pi homeostasis","Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral component of membrane (GO:0016021)"
Os02g0678400,NAD(P)-binding domain containing protein.,"Biological Process: extracellular polysaccharide biosynthetic process (GO:0045226), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: dTDP-4-dehydrorhamnose reductase activity (GO:0008831)"
Os02g0678601,Hypothetical gene.,
Os02g0679200,Pentatricopeptide repeat domain containing protein.,
Os02g0680500,Pentatricopeptide repeat domain containing protein.,
Os02g0680600,"2-C-methyl-d-erythritol 2, 4-cyclodiphosphate synthase, Isoprenoid biosynthesis, Chloroplast development","Biological Process: terpenoid biosynthetic process (GO:0016114), Molecular Function: 2-C-methyl-D-erythritol 2, 4-cyclodiphosphate synthase activity (GO:0008685)"
Os02g0681700,Serine/threonine protein kinase-related domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os02g0681900,GRAS transcription factor domain containing protein.,
Os02g0682500,Similar to TRANSPARENT TESTA GLABRA 1 protein (TTG1 protein).,Molecular Function: protein binding (GO:0005515)
Os02g0682600,"Zinc finger, Tim10/DDP-type family protein.","Biological Process: protein targeting to mitochondrion (GO:0006626), Biological Process: protein import into mitochondrial inner membrane (GO:0045039), Cellular Component: mitochondrial intermembrane space protein transporter complex (GO:0042719)"
Os02g0683800,Conserved hypothetical protein.,
Os02g0683900 ,"Protein of unknown function DUF1084 family protein., Similar to T5E21.3. ",
Os02g0684300,Nucleoporin protein Ndc1-Nup domain containing protein.,
Os02g0684400,Similar to OXS3 (OXIDATIVE STRESS 3).,
Os02g0684600,Similar to predicted protein.,
Os02g0685600,Similar to Protein phosphatase 2C-like.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)"
Os02g0686400 ,Similar to Aspartyl-tRNA synthetase (EC 6.1.1.12) (Aspartate--tRNA ligase) (AspRS). ,"Biological Process: tRNA aminoacylation for protein translation (GO:0006418), Biological Process: aspartyl-tRNA aminoacylation (GO:0006422), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: aminoacyl-tRNA ligase activity (GO:0004812), Molecular Function: aspartate-tRNA ligase activity (GO:0004815), Molecular Function: ATP binding (GO:0005524)"
Os02g0686500,"F-box domain, cyclin-like domain containing protein.",Molecular Function: protein binding (GO:0005515)
Os02g0686600,Metal-dependent protein hydrolase family protein.,
Os02g0687200,Protein of unknown function DUF581 family protein.,
Os02g0687600,Hypothetical protein.,
Os02g0687900,"Peptidase S10, serine carboxypeptidase family protein.","Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type carboxypeptidase activity (GO:0004185)"
Os02g0688500 ,"Glycosyltransferase, ALG6/ALG8 domain containing protein., Hypothetical conserved gene. ","Cellular Component: endoplasmic reticulum membrane (GO:0005789), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)"
Os02g0689200 ,"Protein of unknown function DUF250 domain containing protein., Similar to cDNA clone:J023134O11, full insert sequence. ",
Os02g0689500,Similar to transposon protein.,
Os02g0689700 ,Ribosomal protein L18P/L5E family protein. ,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735), "
Os02g0689900,"TGF-beta receptor, type I/II extracellular region family protein.","Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)"
Os02g0690000,Conserved hypothetical protein.,
Os02g0690200,Conserved hypothetical protein.,
Os02g0690800 ,Peptidase M20 family protein. ,"Biological Process: metabolic process (GO:0008152), Molecular Function: hydrolase activity (GO:0016787)"
Os02g0692000,Similar to RING finger family protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os02g0692700,Similar to PLATZ transcription factor.,
Os02g0693000,Conserved hypothetical protein.,
Os02g0693400,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 family protein.","Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511), Molecular Function: ubiquitin thiolesterase activity (GO:0004221)"
Os02g0693500,Similar to OSIGBa0142I02-OSIGBa0101B20.17 protein.,
Os02g0694100,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os02g0694800,Similar to ATP binding / protein kinase.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os02g0695200 ,Similar to P-type R2R3 Myb protein (Fragment). ,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os02g0695600,Conserved hypothetical protein.,
Os02g0695800,Similar to oligopeptide transporter 4.,Biological Process: transmembrane transport (GO:0055085)
Os02g0695900,Similar to oligopeptide transporter 4.,Biological Process: transmembrane transport (GO:0055085)
Os02g0696500 ,"Concanavalin A-like lectin/glucanase domain containing protein., Similar to Xyloglucan endotransglucosylase/hydrolasev protein 30 (Fragment). ","Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: cellular glucan metabolic process (GO:0006073), Cellular Component: cell wall (GO:0005618), Cellular Component: apoplast (GO:0048046), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: xyloglucan:xyloglucosyl transferase activity (GO:0016762), Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)"
Os02g0696650,Hypothetical gene.,
Os02g0696700,Transcription factor jumonji/aspartyl beta-hydroxylase domain containing protein.,"Cellular Component: nucleus (GO:0005634), Molecular Function: protein binding (GO:0005515)"
Os02g0696900,"Myb-like DNA-binding domain, SHAQKYF class domain containing protein.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os02g0697200,Conserved hypothetical protein.,
Os02g0697300,ENTH/VHS domain containing protein.,"Biological Process: intracellular protein transport (GO:0006886), Cellular Component: intracellular (GO:0005622)"
Os02g0697400,"4-coumarate:coenzyme A ligase, Flavonoid biosynthesis","Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)"
Os02g0697500 ,"Similar to Selenium-binding protein-like., Hypothetical conserved gene. ",", Molecular Function: binding (GO:0005488)"
Os02g0697550,Hypothetical protein.,
Os02g0697600 ,"ATPase, AAA-type, core domain containing protein., Similar to ATPase family AAA domain-containing protein 3. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)"
Os02g0697800,Similar to Secretory carrier-associated membrane protein 5.,"Biological Process: protein transport (GO:0015031), Cellular Component: integral to membrane (GO:0016021)"
Os02g0697900,Hypothetical protein.,
Os02g0698000 ,"Similar to Phosphoribulokinase, chloroplast precursor (EC 2.7.1.19) (Phosphopentokinase) (PRKase) (PRK). ","Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: metabolic process (GO:0008152), Molecular Function: ATP binding (GO:0005524), Molecular Function: phosphoribulokinase activity (GO:0008974), Molecular Function: kinase activity (GO:0016301)"
Os02g0699300,Similar to ADP-ribosylation factor-like protein.,"Biological Process: small GTPase mediated signal transduction (GO:0007264), Cellular Component: intracellular (GO:0005622), Molecular Function: GTP binding (GO:0005525)"
Os02g0699400,RelA/SpoT protein domain containing protein.,Biological Process: guanosine tetraphosphate metabolic process (GO:0015969)
Os02g0699600,Similar to 60S ribosomal protein L12.,"Biological Process: translation (GO:0006412), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
Os02g0699800,Conserved hypothetical protein.,
Os02g0700100,Similar to WD-repeat protein.,Molecular Function: protein binding (GO:0005515)
Os02g0700300,Similar to Phosphate starvation response regulator-like protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os02g0700400,"Homodimeric diiron-carboxylate protein, Cyanide-resistant respiration in mitochondria, Reactive oxygen species (ROS) scavenging","Biological Process: respiratory gaseous exchange (GO:0007585), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: mitochondrial envelope (GO:0005740)"
Os02g0700500,"Polyamine uptake transporter, High-affinity spermidine transporter, Import of spermidine transported via phloem, Polyamine uptake","Biological Process: amino acid transmembrane transport (GO:0003333), Molecular Function: amino acid transmembrane transporter activity (GO:0015171), Cellular Component: membrane (GO:0016020)"
Os02g0700600 ,"Similar to GAMYB-binding protein., Similar to Cyclin-dependent kinase F-4., Similar to cDNA clone:J013158B11, full insert sequence., Non-protein coding transcript. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), "
Os02g0701600,"Similar to Tocopherol O-methyltransferase, chloroplast precursor (EC 2.1.1.95) (Gamma-tocopherol methyltransferase).","Biological Process: metabolic process (GO:0008152), Molecular Function: methyltransferase activity (GO:0008168)"
Os02g0701900,NAD(P)-binding domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491)"
Os02g0702000,"Pentatricopeptide repeats protein, Splicing of chloroplast mRNA","Molecular Function: endonuclease activity (GO:0004519), Molecular Function: protein binding (GO:0005515)"
Os02g0702100,Similar to transcription factor GT-3b.,
Os02g0702300,Conserved hypothetical protein.,
Os02g0702400,Pectinacetylesterase family protein.,
Os02g0703300 ,Protein of unknown function DUF1218 family protein. ,
Os02g0703600,Similar to Abscisic acid 8'-hydroxylase 1.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)"
Os02g0703900 ,Similar to Nodulin-like protein. ,Cellular Component: membrane (GO:0016020)
Os02g0704000,Carotenoid oxygenase family protein.,
Os02g0704300,Conserved hypothetical protein.,
Os02g0704600,Conserved hypothetical protein.,
Os02g0704900 ,Similar to Inorganic pyrophosphatase-like protein. ,"Biological Process: phosphate-containing compound metabolic process (GO:0006796), Cellular Component: cytoplasm (GO:0005737), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: inorganic diphosphatase activity (GO:0004427)"
Os02g0705000,NAD(P)-binding domain containing protein.,Molecular Function: nucleotide binding (GO:0000166)
Os02g0705100,Alpha/beta hydrolase fold-1 domain containing protein.,
Os02g0705300 ,"Tubby-like protein 2., Similar to cDNA clone:J013000H10, full insert sequence., Tubby family protein. ",Molecular Function: protein binding (GO:0005515)
Os02g0705400 ,Similar to Pathogen induced protein 2-4. ,Biological Process: response to stress (GO:0006950)
Os02g0705500 ,Helix-loop-helix DNA-binding domain containing protein. ,
Os02g0706400,Similar to RADIALIS.,"Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os02g0706500 ,"ATPase, AAA-type, core domain containing protein., Similar to predicted protein. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111), Molecular Function: ATP binding (GO:0005524)"
Os02g0707100 ,"Monodehydroascorbate reductase, Negative regulation of tolerance to heat stress, Similar to Monodehydroascorbate reductase (Fragment). ","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: flavin adenine dinucleotide binding (GO:0050660)"
Os02g0707900 ,"Rossmann-like alpha/beta/alpha sandwich fold domain containing protein., Hypothetical conserved gene. ","Biological Process: response to stress (GO:0006950), "
Os02g0708200,Uridine kinase family protein.,"Biological Process: phosphate-containing compound metabolic process (GO:0006796), Biological Process: metabolic process (GO:0008152), Molecular Function: ATP binding (GO:0005524), Molecular Function: kinase activity (GO:0016301), Molecular Function: phosphotransferase activity, alcohol group as acceptor (GO:0016773)"
Os02g0708400,Tetratricopeptide-like helical domain containing protein.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
Os02g0708500,Conserved hypothetical protein.,
Os02g0709200,"Similar to Histidinol-phosphate aminotransferase, chloroplast precursor (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase).","Biological Process: histidine biosynthetic process (GO:0000105), Biological Process: biosynthetic process (GO:0009058), Molecular Function: catalytic activity (GO:0003824), Molecular Function: histidinol-phosphate transaminase activity (GO:0004400), Molecular Function: transferase activity, transferring nitrogenous groups (GO:0016769), Molecular Function: pyridoxal phosphate binding (GO:0030170)"
Os02g0709600 ,"Protein of unknown function DUF617, plant family protein., Similar to plant-specific domain TIGR01570 family protein. ",
Os02g0709800,"GTPase-activating protein, Regulation of vesicle trafficking from trans-Golgi network to plasma membrane or central vacuole",
Os02g0710102,Hypothetical conserved gene.,
Os02g0710500,Similar to Receptor protein kinase.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
