Locus_ID,Description,GO,,
Os03g0103700 ,Non-protein coding transcript. ,,,
Os03g0103800,Conserved hypothetical protein.,,,
Os03g0103950,Hypothetical conserved gene.,,,
Os03g0104000,"Similar to Viral A-type inclusion protein repeat containing protein, expressed.",,,
Os03g0104100,"Protein phosphatase 2C, N-terminal domain containing protein.",Molecular Function: catalytic activity (GO:0003824),,
Os03g0104800,Hypothetical conserved gene.,,,
Os03g0105600,Tubulin beta-1 chain (Beta-1 tubulin).,"Biological Process: GTP catabolic process (GO:0006184), Biological Process: microtubule-based process (GO:0007017), Biological Process: microtubule-based movement (GO:0007018), Biological Process: protein polymerization (GO:0051258), Cellular Component: microtubule (GO:0005874), Cellular Component: protein complex (GO:0043234), Molecular Function: GTPase activity (GO:0003924), Molecular Function: structural molecule activity (GO:0005198), Molecular Function: GTP binding (GO:0005525)",,
Os03g0105800 ,"Hypothetical conserved gene., Similar to cDNA clone:J013082I15, full insert sequence. ",,,
Os03g0106000,Uncharacterised protein family UPF0187 domain containing protein.,,,
Os03g0106200,Conserved hypothetical protein.,,,
Os03g0106400,"Similar to Branched-chain-amino-acid aminotransferase 5, chloroplast precursor (EC 2.6.1.42) (Atbcat-5).","Biological Process: metabolic process (GO:0008152), Biological Process: branched chain family amino acid metabolic process (GO:0009081), Molecular Function: catalytic activity (GO:0003824), Molecular Function: branched-chain-amino-acid transaminase activity (GO:0004084)",,
Os03g0107000,Similar to ASK20.,Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511),,
Os03g0107300,"Anion transporter, Silicon efflux transporter, Arsenic species (As) uptake","Biological Process: citrate transport (GO:0015746), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: citrate transmembrane transporter activity (GO:0015137)",,
Os03g0107400,Prefoldin domain containing protein.,,,
Os03g0107600 ,Similar to H0716A07.6 protein. ,,,
Os03g0108200,Similar to Transposon protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os03g0108600,Similar to DEAD-box ATP-dependent RNA helicase 50.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)",,
Os03g0108800,Similar to Cyclin-dependent kinase A-1.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os03g0109300,Similar to Lysine decarboxylase-like protein.,,,
Os03g0109500,Similar to 40S ribosomal protein S17-4.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",,
Os03g0109700 ,"Similar to predicted protein., Similar to Cyclin delta-3. ",,,
Os03g0109900 ,"Peptidase, trypsin-like serine and cysteine domain containing protein., Hypothetical conserved gene., Peptidase cysteine/serine, trypsin-like domain containing protein. ",Molecular Function: catalytic activity (GO:0003824),,
Os03g0110500,KIP1-like domain containing protein.,,,
Os03g0110600,"Similar to LysM domain containing protein, expressed.",,,
Os03g0110800,"DNA methyltransferase, Vegetative and reproductive development",Biological Process: DNA methylation (GO:0006306),,
Os03g0111400,Heavy metal transport/detoxification protein domain containing protein.,"Biological Process: metal ion transport (GO:0030001), Molecular Function: metal ion binding (GO:0046872)",,
Os03g0111600,Protein of unknown function DUF1618 domain containing protein.,,,
Os03g0111800,WD40/YVTN repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515),,
Os03g0112101,"Similar to Adaptin N terminal region family protein, expressed.","Biological Process: intracellular protein transport (GO:0006886), Biological Process: vesicle-mediated transport (GO:0016192), Cellular Component: membrane coat (GO:0030117), Molecular Function: binding (GO:0005488)",,
Os03g0112600,"Similar to Plus-3 domain containing protein, expressed.","Biological Process: transcription initiation, DNA-dependent (GO:0006352), Biological Process: histone modification (GO:0016570), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)",,
Os03g0112700 ,"Zinc finger CCCH domain-containing protein, CCCH-type zinc finger protein, Photoperiodic control of flowering time ",Molecular Function: metal ion binding (GO:0046872),,
Os03g0113000 ,Serine/threonine protein kinase domain containing protein. ,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os03g0113100 ,"Similar to Thymidine kinase., Thymidine kinase family protein. ","Molecular Function: thymidine kinase activity (GO:0004797), Molecular Function: ATP binding (GO:0005524)",,
Os03g0113500,Conserved hypothetical protein.,,,
Os03g0113700,"Similar to Heat shock 70 kDa protein, mitochondrial precursor.","Biological Process: protein folding (GO:0006457), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)",,
Os03g0113800,Tetratricopeptide-like helical domain containing protein.,Molecular Function: binding (GO:0005488),,
Os03g0113900,Protein of unknown function DUF584 family protein.,,,
Os03g0114000,Similar to Kinesin.,"Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)",,
Os03g0114200,"Nucleic acid-binding, OB-fold domain containing protein.","Biological Process: translational initiation (GO:0006413), Molecular Function: RNA binding (GO:0003723), Molecular Function: translation initiation factor activity (GO:0003743)",,
Os03g0114400,Similar to Avr9/Cf-9 rapidly elicited protein 102 (Fragment).,"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)",,
Os03g0114700,Non-protein coding transcript.,,,
Os03g0114800 ,"Protein of unknown function DUF791 family protein., Similar to Major Facilitator superfamily protein. ",,,
Os03g0114900,Similar to putaive mitochondrial inner membrane protein [Oryza sativa (japonica cultivar-group)].,,,
Os03g0115000,Cupredoxin domain containing protein.,"Molecular Function: copper ion binding (GO:0005507), Molecular Function: electron carrier activity (GO:0009055)",,
Os03g0115100 ,"Mevalonate and galactokinase family protein., Similar to GHMP kinase-related. ","Biological Process: metabolic process (GO:0008152), Biological Process: phosphorylation (GO:0016310), Cellular Component: cytoplasm (GO:0005737), Molecular Function: ATP binding (GO:0005524), Molecular Function: kinase activity (GO:0016301), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Molecular Function: phosphotransferase activity, alcohol group as acceptor (GO:0016773), Biological Process: phosphorylation (GO:0016310), Molecular Function: ATP binding (GO:0005524), Molecular Function: kinase activity (GO:0016301), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os03g0115200,"Similar to Partner of Nob1; Pno1p; Yor145cp like KH domain containing protein, transcripts identified by EST.",Molecular Function: RNA binding (GO:0003723),,
Os03g0115500 ,"""Similar to pyridoxine 5-phosphate oxidase-related."", FMN-binding split barrel-related domain containing protein. ","Biological Process: pyridoxine biosynthetic process (GO:0008615), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: pyridoxamine-phosphate oxidase activity (GO:0004733), Molecular Function: FMN binding (GO:0010181), Molecular Function: oxidoreductase activity (GO:0016491), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: FMN binding (GO:0010181), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os03g0115700,Short-chain dehydrogenase/reductase SDR family protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os03g0116000,"Similar to 60Kd inner membrane protein, expressed.","Biological Process: protein insertion into membrane (GO:0051205), Cellular Component: integral to membrane (GO:0016021)",,
Os03g0116300,Similar to catalytic/ hydrolase.,,,
Os03g0116400,Similar to Membrane protein.,"Biological Process: proteolysis (GO:0006508), Cellular Component: integral to membrane (GO:0016021), Molecular Function: serine-type endopeptidase activity (GO:0004252)",,
Os03g0116500,Constitutive photomorphogenic 11.,Molecular Function: protein binding (GO:0005515),,
Os03g0116700,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515),,
Os03g0116800 ,Similar to F-box protein. ,,,
Os03g0117300,Beta-glucanase family protein.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)",,
Os03g0117800,Fructosamine/Ketosamine-3-kinase domain containing protein.,"Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os03g0118450,Non-protein coding transcript.,,,
Os03g0118800,Similar to Hydroxymethylglutaryl-CoA synthase.,"Biological Process: metabolic process (GO:0008152), Biological Process: isoprenoid biosynthetic process (GO:0008299), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydroxymethylglutaryl-CoA synthase activity (GO:0004421)",,
Os03g0119300,"Peptidase S8, subtilisin-related domain containing protein.","Biological Process: proteolysis (GO:0006508), Biological Process: negative regulation of catalytic activity (GO:0043086), Molecular Function: serine-type endopeptidase activity (GO:0004252), Molecular Function: identical protein binding (GO:0042802)",,
Os03g0119900,Similar to Histone H4.,"Biological Process: nucleosome assembly (GO:0006334), Cellular Component: nucleosome (GO:0000786), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677)",,
Os03g0120000,Conserved hypothetical protein.,,,
Os03g0120200 ,"Remorin, C-terminal region domain containing protein., Similar to Remorin, C-terminal region family protein, expressed. ",,,
Os03g0120300 ,Protein of unknown function DUF1084 family protein. ,,,
Os03g0120400,Heavy metal transport/detoxification protein domain containing protein.,"Biological Process: metal ion transport (GO:0030001), Molecular Function: metal ion binding (GO:0046872)",,
Os03g0120900,Similar to AP2 domain containing protein RAP2.8 (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677)",,
Os03g0121200 ,"Similar to Peroxidase 1., Similar to Class III peroxidase 33. ","Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)",,
Os03g0121300 ,"Similar to Peroxidase 1., Similar to Peroxidase 5. ","Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)",,
Os03g0121700,Similar to Nascent polypeptide-associated complex alpha subunit-like protein 3 (NAC-alpha-like protein 3) (Alpha-NAC-like protein 3).,,,
Os03g0122000 ,"Serine/threonine protein kinase domain containing protein., Hypothetical conserved gene. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os03g0122200,Similar to 50S ribosomal protein L11.,"Biological Process: translation (GO:0006412), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",,
Os03g0122600 ,"MIKC-type MADS-box protein, Flowering activator, Short-day/long-day promotion of flowering, Transcription factor, MADS-box domain containing protein. ","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein dimerization activity (GO:0046983), Cellular Component: nucleus (GO:0005634), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein dimerization activity (GO:0046983)",,
Os03g0123500 ,"Similar to HOS66 protein., Similar to Homeobox protein knotted-1-like 3. ","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein binding (GO:0005515), Molecular Function: sequence-specific DNA binding (GO:0043565)",,
Os03g0123600 ,Protein of unknown function Cys-rich family protein. ,,,
Os03g0123800,Similar to Hydrolase.,,,
Os03g0124200 ,"Similar to Pto-like protein kinase F., Similar to Protein kinase domain containing protein, expressed. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os03g0124300 ,Similar to ATP binding protein. ,,,
Os03g0124800,Non-protein coding transcript.,,,
Os03g0125000 ,"Similar to 50S ribosomal protein L5, chloroplast. ","Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",,
Os03g0125100,"Beta-carotene hydroxylase, Drought and oxidative stress resistance","Biological Process: fatty acid biosynthetic process (GO:0006633), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os03g0125600,Ser Thr specific protein kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os03g0125800,"Cystathionine beta-synthase, core domain containing protein.",,,
Os03g0125900 ,"Conserved hypothetical protein., Hypothetical conserved gene. ",,,
Os03g0126000,Similar to Phosphorybosyl anthranilate transferase 1.,"Biological Process: tryptophan biosynthetic process (GO:0000162), Biological Process: metabolic process (GO:0008152), Molecular Function: anthranilate phosphoribosyltransferase activity (GO:0004048), Molecular Function: transferase activity, transferring glycosyl groups (GO:0016757)",,
Os03g0126100,"Similar to Arabidopsis thaliana DNA, 40 kb surrounding ACS1 locus.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: cofactor binding (GO:0048037)",,
Os03g0126300 ,"Similar to cDNA clone:001-042-G03, full insert sequence., Similar to RPE1 protein. ",,,
Os03g0126600,Conserved hypothetical protein.,,,
Os03g0127000,Similar to cell growth defect factor 2.,,,
Os03g0127500,"bZIP transcription factor, bZIP-1 domain containing protein.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565), Molecular Function: protein dimerization activity (GO:0046983)",,
Os03g0127600,Forkhead-associated domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein binding (GO:0005515)",,
Os03g0127700 ,Serine/threonine protein kinase-related domain containing protein. ,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os03g0127900,Cation/H+ exchanger domain containing protein.,"Biological Process: cation transport (GO:0006812), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: solute:hydrogen antiporter activity (GO:0015299)",,
Os03g0128000 ,"FAS1 domain domain containing protein., Similar to Fasciclin-like protein FLA2. ",,,
Os03g0128100 ,"Similar to Callose synthase 1 catalytic subunit., Similar to 1, 3-beta-glucan synthase component family protein, expressed. ","Biological Process: 1, 3-beta-D-glucan biosynthetic process (GO:0006075), Cellular Component: 1, 3-beta-D-glucan synthase complex (GO:0000148), Cellular Component: membrane (GO:0016020), Molecular Function: 1, 3-beta-D-glucan synthase activity (GO:0003843)",,
Os03g0128200,Similar to predicted protein.,,,
Os03g0128300,Conserved hypothetical protein.,,,
Os03g0128400,Conserved hypothetical protein.,,,
Os03g0128500,Similar to DNA polymerase delta small subunit (EC 2.7.7.7).,"Biological Process: DNA replication (GO:0006260), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-directed DNA polymerase activity (GO:0003887)",,
Os03g0128700,"Calcium-dependent protein kinase, isoform 11 (EC 2.7.1.-) (CDPK 11).","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os03g0128800 ,"Conserved hypothetical protein., Similar to predicted protein. ",,,
Os03g0129100,Seven transmembrane protein MLO2.,"Biological Process: cell death (GO:0008219), Cellular Component: integral to membrane (GO:0016021)",,
Os03g0129300 ,"Similar to Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13) (Fragment)., Similar to cDNA clone:J013118G18, full insert sequence. ","Biological Process: glucose metabolic process (GO:0006006), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620), Molecular Function: NADP binding (GO:0050661), Molecular Function: NAD binding (GO:0051287), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)",,
Os03g0129800,Similar to Putataive InsB from Escherichia coli.,,,
Os03g0129900,NADH-ubiquinone oxidoreductase B18 subunit family protein.,"Cellular Component: mitochondrion (GO:0005739), Molecular Function: NADH dehydrogenase activity (GO:0003954), Molecular Function: NADH dehydrogenase (ubiquinone) activity (GO:0008137)",,
Os03g0130300,Similar to Cp-thionin.,Biological Process: defense response (GO:0006952),,
Os03g0130400 ,"Adenylate kinase, subfamily protein., Similar to ESTs AU065232(E60855)., Non-protein coding transcript. ","Biological Process: nucleobase-containing compound metabolic process (GO:0006139), Biological Process: nucleotide phosphorylation (GO:0046939), Molecular Function: ATP binding (GO:0005524), Molecular Function: phosphotransferase activity, phosphate group as acceptor (GO:0016776), Molecular Function: nucleotide kinase activity (GO:0019201), Molecular Function: nucleobase-containing compound kinase activity (GO:0019205), ",,
Os03g0130700 ,Conserved hypothetical protein. ,,,
Os03g0130900 ,Serine/threonine protein kinase domain containing protein. ,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os03g0131100,Octicosapeptide/Phox/Bem1p domain containing protein.,Molecular Function: protein binding (GO:0005515),,
Os03g0132000,Similar to 4-coumarate-CoA ligase-like protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)",,
Os03g0132200,Expansin-like protein A.,Cellular Component: extracellular region (GO:0005576),,
Os03g0132250,Hypothetical protein.,,,
Os03g0132300,TB2/DP1 and HVA22 related protein family protein.,,,
Os03g0132900,Similar to Chitinase 11.,"Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: chitin catabolic process (GO:0006032), Biological Process: cell wall macromolecule catabolic process (GO:0016998), Molecular Function: chitinase activity (GO:0004568)",,
Os03g0133000,"NAC transcription factor, Drought and salt stress tolerance, Modulation of ABA-mediated pathway","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677)",,
Os03g0133400,Peptidoglycan-binding Lysin subgroup domain containing protein.,Biological Process: cell wall macromolecule catabolic process (GO:0016998),,
Os03g0133500,Similar to Adenosine monophosphate binding protein 1 AMPBP1.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)",,
Os03g0133900,Similar to Serine acetyltransferase (EC 2.3.1.30) (Sat-106).,"Biological Process: cysteine biosynthetic process from serine (GO:0006535), Cellular Component: cytoplasm (GO:0005737), Molecular Function: serine O-acetyltransferase activity (GO:0009001), Molecular Function: transferase activity (GO:0016740)",,
Os03g0134300,Similar to ATP phosphoribosyl transferase.,"Biological Process: histidine biosynthetic process (GO:0000105), Cellular Component: cytoplasm (GO:0005737), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: ATP phosphoribosyltransferase activity (GO:0003879)",,
Os03g0134500,Cytochrome p450 (CYP78A9).,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)",,
Os03g0134900,Similar to Glutathione S-transferase GSTF14 (Fragment).,Molecular Function: protein binding (GO:0005515),,
Os03g0135100,Glutathione S-transferase GSTF15.,Molecular Function: protein binding (GO:0005515),,
Os03g0135200,Similar to Glutathione S-transferase GST 9 (EC 2.5.1.18).,,,
Os03g0135300,Similar to Glutathione S-transferase GST 10 (EC 2.5.1.18).,Molecular Function: protein binding (GO:0005515),,
Os03g0136200,24-methylenesterol C-methyltransferase 2 (EC 2.1.1.143) (24-sterol C- methyltransferase 2) (Sterol-C-methyltransferase 2).,"Biological Process: steroid biosynthetic process (GO:0006694), Biological Process: metabolic process (GO:0008152), Molecular Function: methyltransferase activity (GO:0008168)",,
Os03g0136500,Similar to protein-methionine-s-oxide reductase.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peptide-methionine-(S)-S-oxide reductase activity (GO:0008113)",,
Os03g0136900 ,"Similar to Aconitate hydratase, cytoplasmic (EC 4.2.1.3) (Citrate hydro-lyase) (Aconitase)., Similar to Aconitate hydratase 2, mitochondrial. ","Biological Process: metabolic process (GO:0008152), Molecular Function: 4 iron, 4 sulfur cluster binding (GO:0051539), Biological Process: metabolic process (GO:0008152)",,
Os03g0137200 ,"Protein phosphatase 2C domain containing protein., Similar to Protein phosphatase 2C. ","Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722), Molecular Function: catalytic activity (GO:0003824)",,
Os03g0137400 ,Protein of unknown function DUF221 domain containing protein. ,Cellular Component: membrane (GO:0016020),,
Os03g0137600 ,Conserved hypothetical protein. ,,,
Os03g0137800,Cyclin-dependent kinase inhibitor family protein.,"Biological Process: cell cycle arrest (GO:0007050), Cellular Component: nucleus (GO:0005634), Molecular Function: cyclin-dependent protein kinase inhibitor activity (GO:0004861)",,
Os03g0138000,Conserved hypothetical protein.,,,
Os03g0138100,"Similar to RNA recognition motif family protein, expressed.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)",,
Os03g0138500,Conserved hypothetical protein.,,,
Os03g0138700,"TGF-beta receptor, type I/II extracellular region family protein.","Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)",,
Os03g0139100,Similar to Ribosomal Pr 117 (Fragment).,"Biological Process: translation (GO:0006412), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",,
Os03g0139200 ,Cytochrome c region domain containing protein. ,,,
Os03g0139400,Conserved hypothetical protein.,,,
Os03g0140200,Similar to Cytochrome P450 86A1 (EC 1.14.-.-) (CYPLXXXVI) (P450-dependent fatty acid omega-hydroxylase).,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: monooxygenase activity (GO:0004497), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)",,
Os03g0140500 ,"Protein of unknown function DUF26 domain containing protein., Hypothetical conserved gene. ",,,
Os03g0140700,Tetratricopeptide-like helical domain containing protein.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",,
Os03g0141000,60S ribosomal protein L21.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",,
Os03g0141200,Similar to Beta-amylase PCT-BMYI (EC 3.2.1.2).,"Biological Process: polysaccharide catabolic process (GO:0000272), Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: beta-amylase activity (GO:0016161), Molecular Function: cation binding (GO:0043169)",,
Os03g0142500,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os03g0142600,Myb transcription factor domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)",,
Os03g0142800 ,"Similar to MRP-like ABC transporter., Hypothetical conserved gene. ","Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111), Molecular Function: ATPase activity, coupled to transmembrane movement of substances (GO:0042626)",,
Os03g0142900,"Protein of unknown function DUF946, plant family protein.",,,
Os03g0143200,Non-protein coding transcript.,,,
Os03g0143400,Similar to mitochondrial chaperonin-60 [Oryza sativa (japonica cultivar-group)].,"Biological Process: protein folding (GO:0006457), Biological Process: protein refolding (GO:0042026), Biological Process: cellular protein metabolic process (GO:0044267), Cellular Component: cytoplasm (GO:0005737), Molecular Function: ATP binding (GO:0005524)",,
Os03g0143700 ,"Protein of unknown function DUF3741 domain containing protein., Hypothetical conserved gene. ",,,
Os03g0143800,"PIROGI/Specifically Rac1-associated protein 1 (PIR/SRA1)-like protein, Homolog of SCAR/WAVE complex components, Control of epidermal cell morphogenesis",,,
Os03g0144000 ,"Conserved hypothetical protein., DUF4487 domain containing protein, Regulation of meiotic recombination, Prevention of aberrant meiotic recombination, Regulation of crossover formation ",,,
Os03g0144100,Hypothetical genes.,,,
Os03g0144150,Non-protein coding transcript.,,,
Os03g0144200,Non-protein coding transcript.,,,
Os03g0144300,Similar to Xyloglucan galactosyltransferase KATAMARI 1 (EC 2.4.1.-) (MURUS3 protein).,Cellular Component: membrane (GO:0016020),,
Os03g0144500,Similar to Xyloglucan galactosyltransferase KATAMARI 1 (EC 2.4.1.-) (MURUS3 protein).,Cellular Component: membrane (GO:0016020),,
